Start Date,Respondent ID,In what country do you work?,What is your age?,How long (in years) have you been in information technology or security?,,What is the highest level of formal education you have completed?,What is your gender identity?,,Do you currently have (or have had) industry certifications?,"If you do have certifications, which one do you value most?","If you do have certifications, which one do you value least?",What was your first job title in information technology or security?,What is your current job title in information technology or security?,Current Job Cleaned,Which of the following best describes the principal industry of your current organization?,,"Do you call it ""Cybersecurity"" or ""Information Security""","Are you currently or formerly employed by a Government, Military, or Defense Industrial Base (DIB) organization (or are you in a role that primarily supports one of those entities)?",Do you consider your role to be highly technical?,"On a scale of 1-10, how do you rate your coding or development skills?",What role in information security or cybersecurity do you believe is the new hotness?
4/1/21 12:06,12542191534,United States of America,45 to 54,21-40,,Graduated from College/University,Man,,No,,,Member of technical staff,Senior security researcher,Trainee / Operational Assistant,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,Yes,Yes,I am an extremely competent coder/developer,
4/1/21 12:08,12542190236,United States of America,45 to 54,21-40,,Graduated from College/University,Man,,No,,,System Specialist,Systems Administrator Senior,USAF Communications Officer,Education,,Information Security (infosec),Yes,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,
4/1/21 12:05,12542189940,United States of America,35 to 44,5-Jan,,Completed graduate school,Woman,,Yes,GDAT,CyberSec First Responder ,CTI Analyst ,Senior Cyber Threat Hunter ,VP Cybersecurity Engineer,Healthcare & Pharmaceuticals,,I use both terms depending on audience I am talking to,No,Yes,4,Threat hunting is soooo hoooot right now (still). DFIR is an oldie but goodie with 1000% job security that’s getting moar attention due to recent breaches.
4/1/21 12:06,12542189876,United States of America,35 to 44,10-Jun,,Some graduate school,Man,,Yes,GCFA,CEH,Tier 2 SOC Analyst,Principal IR Consultant,VP Cybersecurity Manger,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,Yes,Yes,7,IR
4/1/21 12:07,12542189695,United States of America,45 to 54,21-40,,Completed graduate school,Man,,Yes,CISSP,HCISPP,Help Desk specialist ,Information security and risk engineer,VP of Customer Success,Healthcare & Pharmaceuticals,,Cybersecurity (cyber),Yes,No,7,
4/1/21 12:06,12542188941,United States of America,35 to 44,21-40,,Some College/University,Man,,Yes,"dont value them, just keep them updated",,firewall engineer at an ISP in the 90s.,COO & CO Founder @ Alphawave.co,VP Sec Ops,Software Sales,,I use both terms depending on audience I am talking to,No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,"All tiers of SOC teams are the hotness for me, for now and forever. We exist to serve them so they can keep the world safe."
4/1/21 12:04,12542187826,Netherlands,25 to 34,10-Jun,,Graduated from College/University,Man,,Yes,GCFA,,Junior IT Security Advisor,Blue teaming specialist,VP technology & security,Other (please specify),Freelance,Cybersecurity (cyber),No,Yes,8,Purple teamer
4/1/21 12:06,12542187308,Ireland,45 to 54,20-Nov,,Doctorate,Woman,,Yes,Cism,CEH,Analyst,Operations manager,VP ybersecurity ,Manufacturing,,I use both terms depending on audience I am talking to,Yes,Yes,6,Cloud
4/1/21 12:02,12542184748,United States of America,35 to 44,20-Nov,,Completed graduate school,Man,,Yes,,,Administrative Support,"Director, Threat Intelligence","VP/CTO, Cyber Security","Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,Yes,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,
4/1/21 12:02,12542183644,United States of America,35 to 44,20-Nov,,Some College/University,Man,,Yes,"GWAPT, because web severity is what I've spent most of my security career focused on",GCFA - it's a great cert but I don't do IR day to day,Information Technology Specialist I,Cybersecurity Senior Engineer,Web Application Pentest,Finance & Financial Services,,I use both terms depending on audience I am talking to,No,Yes,6,Cloud security
4/1/21 12:03,12542183594,Netherlands,25 to 34,20-Nov,,Graduated from College/University,Man,,Yes,None,SANS,helpdesk,Senior Detection Engineer,,Government,,I use both terms depending on audience I am talking to,Yes,Yes,6,"data/privacy officer (it's hot, im not sure if its good)"
4/1/21 12:03,12542183258,South Africa,35 to 44,21-40,,Graduated from College/University,Man,,Yes,,Isaca,It auditor ,Infosec officer ,,Finance & Financial Services,,I use both terms depending on audience I am talking to,No,No,2,Cloud security analyst
4/1/21 12:04,12542181819,United States of America,35 to 44,20-Nov,,Associates Degree,Man,,Yes,CISSP,A+,Cybersecurity Operations Trainer,Cyber Strategist,,Government,,I use both terms depending on audience I am talking to,Yes,No,I do not believe I have any coding/development skills at all,Cloud or Virtual Reality
4/1/21 12:03,12542180175,United States of America,25 to 34,10-Jun,,Graduated from College/University,Woman,,No,,,Consultant ,Sr Consultant,,Other (please specify),Consultant supporting all industries ,I use both terms depending on audience I am talking to,No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,
4/1/21 11:51,12542177423,United States of America,45 to 54,21-40,,Some College/University,Man,,Yes,SANS,,system administrator,security specialist,,Software Sales,,I use both terms depending on audience I am talking to,Yes,Yes,7,cloud anything
4/1/21 12:01,12542177189,United States of America,25 to 34,10-Jun,,Some College/University,Man,,Yes,OSCP,Some MS cert,Security Analyst,Red Team Lead Azure Trustworthy ML,,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,No,Yes,8,"Machine learning, obvi"
4/1/21 11:56,12542176770,United States of America,35 to 44,20-Nov,,Some College/University,Man,,No,,,Technician,Director of Threat Intelligence,,Government,,I use both terms depending on audience I am talking to,Yes,No,6,Risk
4/1/21 12:01,12542176626,United States of America,45 to 54,10-Jun,,Some College/University,Man,,Yes,Microsoft,Novell ;),Systems Engineer,Principal Consultant ,,Other (please specify),Professional Services,I use both terms depending on audience I am talking to,No,Yes,8,Cloud security
4/1/21 12:02,12542176460,United States of America,45 to 54,20-Nov,,Completed graduate school,Man,,No,,,Network administrator,Systems Administrator,,Food & Beverages,,Information Security (infosec),No,Yes,6,Data scientist
4/1/21 11:57,12542173411,United States of America,35 to 44,20-Nov,,Completed graduate school,Man,,Yes,GSE,CEH,Network Administrator,CEO,,Education,,I use both terms depending on audience I am talking to,No,Yes,6,SOC Analyst!
4/1/21 11:59,12542171040,United States of America,25 to 34,10-Jun,,Graduated from College/University,Man,,Yes,GCTI,,Operations Analyst,Senior Analyst for Journalist Cybersecurity,,Entertainment & Leisure,,I use both terms depending on audience I am talking to,No,Yes,7,Purple team and adversary emulation
4/1/21 11:59,12542170761,United States of America,55 to 64,21-40,,Some College/University,Man,,No,N/A,N/A,Help Desk: Customer service tech,Network Analyst (Systems Admin),,Healthcare & Pharmaceuticals,,Information Security (infosec),Yes,No,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,"Anyone with a generalized background. Ability to ""Birds eye"" view things. There's so much specialization going on, 'big picture' is being lost. Silo walls are too tall."
4/1/21 11:59,12542168263,United States of America,25 to 34,20-Nov,,Graduated from College/University,Man,,Yes,OSCP,,Security analyst,Sr. Threat Researcher,,Software Sales,,I use both terms depending on audience I am talking to,No,Yes,8,Memes and shitposting
4/1/21 11:53,12542167708,Spain,35 to 44,5-Jan,,Some College/University,Man,,Yes,,,7x24 operator,Soc analyst,,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,No,Yes,3,Threat hunter
4/1/21 12:00,12542167442,United States of America,25 to 34,20-Nov,,Graduated from College/University,Man,,Yes,CISSP,A+,Technical Support Representative,Security Consulting Solutions Engineer,,Software Sales,,I use both terms depending on audience I am talking to,Yes,Yes,7,CISO - aka the fall person
4/1/21 11:57,12542165596,United States of America,25 to 34,10-Jun,,Associates Degree,Man,,Yes,Eh im looking to get the CISSP. Sec + ain't cutting it ,Sec+,Combat Communications Technician,COMSEC Manager,,Airlines & Aerospace (including Defense),,I use both terms depending on audience I am talking to,Yes,No,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Threat Intelligence
4/1/21 11:57,12542165593,Mexico,35 to 44,20-Nov,,Graduated from College/University,Man,,Yes,Vendor cert,,SE,Consultant SE,,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Blue Team
4/1/21 11:55,12542163395,United States of America,45 to 54,21-40,,Some College/University,Man,,Yes,GMON,CISSP,Systems administrator,Sales engineer,,Software Sales,,I use both terms depending on audience I am talking to,Yes,No,6,
4/1/21 11:57,12542160761,United States of America,25 to 34,10-Jun,,Graduated from high school,Man,,Yes,,Security+  A+,Technical Support,Security Engineer,,Entertainment & Leisure,,I use both terms depending on audience I am talking to,No,Yes,6,Threat hunting
4/1/21 11:57,12542159578,United States of America,45 to 54,20-Nov,,Graduated from College/University,Man,,Yes,"gcih, gcti, cissp ",cissp,Security Analyst ,CISO ,,"Telecommunications, Technology, Internet & Electronics",,Cybersecurity (cyber),No,No,2,Devsecops
4/1/21 11:56,12542157916,United States of America,25 to 34,10-Jun,,Completed graduate school,Man,,No,,,External Affairs Liaison,Principal Data Scientist,,MSSP,,Cybersecurity (cyber),No,Yes,7,data engineer
4/1/21 11:53,12542156600,United States of America,35 to 44,20-Nov,,Graduated from high school,Man,,Yes,CISSP,C|EH,Technical Support Engineer,Director IT Operations/Security,,"Telecommunications, Technology, Internet & Electronics",,Information Security (infosec),No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,DevSecOps
4/1/21 11:53,12542150876,United States of America,35 to 44,21-40,,Graduated from College/University,Man,,Yes,,,USAF Communications Officer.  Would be a generalist role,USAF Communications Officer.  dupe question?,,Education,,I use both terms depending on audience I am talking to,No,Yes,8,
4/1/21 11:50,12542147408,Netherlands,35 to 44,20-Nov,,Completed graduate school,Man,,Yes,SANS GCFA,CEH,Trainee / Operational Assistant,Trainee / Operational Assistant,,Finance & Financial Services,,Cybersecurity (cyber),No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,ML/AI
4/1/21 11:51,12542144620,United States of America,18 to 24,<1,,Associates Degree,Man,,No,,,Help desk technician,Information security analyst,,Finance & Financial Services,,Information Security (infosec),No,Yes,8,
4/1/21 11:50,12542143880,United States of America,35 to 44,21-40,,Completed graduate school,Man,,Yes,GCIA,n/a,System Operation Analyst,Is there an echo in here?,,Finance & Financial Services,,I use both terms depending on audience I am talking to,No,Yes,6,"I keep hearing stuff like ""DevSecOps"" or ""Purple Team"" and I don't really understand it, so it must be very trendy."
4/1/21 11:49,12542141696,United States of America,65 to 74,41-IAMETERNAL,,Some College/University,Man,,No,,,Security Manager ,Security Manager ,,I am currently not employed,,Information Security (infosec),Yes,Yes,I am an extremely competent coder/developer,
4/1/21 11:49,12542140454,United States of America,35 to 44,21-40,,Completed graduate school,Man,,Yes,,,Army 2LT,,,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,Yes,Yes,8,"Purple Team (not a dedicated role, but lots of interest and most folks can participate)"
4/1/21 9:18,12541699114,United States of America,35 to 44,21-40,,Some graduate school,Man,,No,,,Junior Firewall Admin,Senior Security Manager,,Other (please specify),Management consulting,I use both terms depending on audience I am talking to,No,Yes,7,Machine learning aka statistics
4/1/21 9:05,12541648995,United States of America,25 to 34,10-Jun,,Completed graduate school,Man,,No,,,Consultant ,Principal Threat Analyst,,Other (please specify),Information Services,Cybersecurity (cyber),No,Yes,4,Detection engineering 
4/1/21 7:24,12541357907,United States of America,45 to 54,21-40,,Some College/University,Man,,Yes,"GNFA, but only because I am a SANS instructor for that course and I'm required to have it.",,Unix System Administrator,Principal Engineer,,Retail & Consumer Durables,,I use both terms depending on audience I am talking to,No,Yes,8,Threat Hunter
3/31/21 21:34,12540391691,United States of America,35 to 44,20-Nov,,Completed graduate school,Woman,,Yes,GCTI...I need it to teach and it's my only one :),,Counterintelligence Officer,Director of Intelligence,,MSSP,,I use both terms depending on audience I am talking to,Yes,Yes,3,Thought leader
3/31/21 21:23,12540371728,United States of America,35 to 44,21-40,,Completed graduate school,Man,,Yes,,,System Administrator,Distinguished Security Strategist,,Software Sales,,Cybersecurity (cyber),Yes,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Datascience
3/31/21 20:55,12540330815,United States of America,45 to 54,21-40,,Graduated from College/University,Man,,Yes,Gse,Cissp,,,,,,,,,,
